Date,Close,High,Low
2018-04-24,7144.59,7161.52,7131.96
2018-04-23,7164.45,7171.15,7148.7
2018-04-20,7161.37,7175.03,7143.54
2018-04-19,7132.92,7153.15,7120.17
2018-04-18,7147.09,7152.37,7108.1
2018-04-17,7094.96,7145.71,7088.71
2018-04-16,7128.82,7141.72,7110.95
2018-04-13,7128.54,7128.59,7055.69
2018-04-12,7067.88,7069.06,6996.15
2018-04-11,7011.95,7049.71,6953.98
2018-04-10,7030.93,7143.44,7011.64
2018-04-06,7140.61,7179.73,7138.63
2018-04-05,7183.58,7195.16,7165.57
2018-04-04,7168.9,7192.58,7116.76
2018-04-03,7181.99,7185.11,7148.36
2018-04-02,7161.36,7180.64,7135.4
2018-03-30,7142.65,7159.07,7110.94
2018-03-29,7111.07,7130.31,7087.04
2018-03-28,7094.7,7099.27,7080.3
2018-03-27,7084.48,7085.71,7048.68
2018-03-26,7048.68,7071.92,7034.33
2018-03-23,7038.91,7056.14,7027.78
2018-03-22,7041.52,7041.52,6999.97
2018-03-21,7001.9,7029.56,6979.89
2018-03-19,6980.7,6980.7,6917.43
2018-03-16,6932.07,6932.64,6851.2
2018-03-15,6847.54,6878.54,6827.03
2018-03-14,6826.15,6854.38,6819.26
2018-03-13,6829.62,6853.8,6808.0
2018-03-12,6802.72,6816.39,6790.75
2018-03-09,6809.46,6835.11,6782.49
2018-03-08,6796.7,6841.2,6788.84
2018-03-07,6791.44,6791.44,6733.7
2018-03-06,6736.33,6738.18,6698.86
2018-03-05,6717.91,6717.98,6695.57
2018-03-02,6703.19,6717.77,6697.13
2018-03-01,6696.49,6701.22,6671.07
2018-02-28,6698.51,6701.75,6670.01
2018-02-27,6691.45,6698.91,6684.01
2018-02-26,6686.1,6705.5,6664.82
2018-02-23,6662.57,6672.08,6624.54
2018-02-22,6632.3,6634.0,6580.53
2018-02-21,6590.36,6594.84,6567.05
2018-02-20,6570.48,6570.49,6526.09
2018-02-19,6562.16,6574.84,6553.72
2018-02-16,6572.89,6580.61,6553.04
2018-02-15,6581.68,6591.98,6572.7
2018-02-14,6586.29,6598.96,6575.14
2018-02-13,6584.12,6584.12,6554.5
2018-02-12,6558.41,6564.26,6512.22
2018-02-09,6515.87,6572.15,6502.64
2018-02-08,6573.04,6576.3,6549.54
2018-02-07,6571.6,6658.3,6550.29
2018-02-06,6615.97,6615.97,6557.39
2018-02-05,6558.16,6563.9,6532.43
2018-02-02,6515.7,6515.83,6458.01
2018-02-01,6457.97,6458.26,6419.31
2018-01-31,6431.63,6431.65,6410.33
2018-01-30,6422.62,6423.08,6387.88
2018-01-29,6403.04,6403.31,6377.65
2018-01-26,6385.89,6394.75,6366.55
2018-01-25,6378.85,6378.85,6348.16
2018-01-24,6372.54,6381.16,6358.77
2018-01-23,6357.01,6373.08,6333.93
2018-01-22,6339.93,6381.07,6331.67
2018-01-19,6362.09,6374.91,6336.75
2018-01-18,6366.42,6385.12,6349.12
2018-01-17,6335.45,6338.04,6289.37
2018-01-16,6280.82,6289.44,6263.61
2018-01-15,6285.59,6306.73,6278.88
2018-01-12,6301.28,6301.33,6263.58
2018-01-11,6254.94,6254.94,6233.3
2018-01-10,6235.6,6263.53,6223.84
