Date,Close,High,Low
2017-04-24,5636.65,5665.23,5631.29
2017-04-21,5641.88,5646.66,5622.07
2017-04-20,5620.61,5629.95,5589.56
2017-04-19,5621.67,5622.58,5589.55
2017-04-18,5615.85,5634.99,5599.24
2017-04-17,5620.68,5620.82,5605.14
2017-04-14,5619.7,5640.0,5606.46
2017-04-13,5622.86,5655.48,5622.8
2017-04-12,5645.47,5645.72,5598.7
2017-04-11,5602.29,5613.31,5567.48
2017-04-10,5579.35,5617.97,5579.35
2017-04-07,5598.04,5598.26,5567.5
2017-04-06,5592.64,5592.88,5562.32
2017-04-05,5576.97,5585.17,5564.68
2017-04-04,5580.4,5580.4,5541.54
2017-04-03,5548.78,5556.11,5543.28
2017-03-31,5543.07,5553.96,5517.11
2017-03-30,5542.17,5556.4,5539.06
2017-03-29,5553.92,5564.08,5546.12
2017-03-28,5562.7,5577.01,5551.67
2017-03-27,5570.37,5570.37,5539.57
2017-03-24,5545.33,5555.48,5542.61
2017-03-23,5544.93,5560.24,5541.38
2017-03-22,5559.52,5570.11,5547.17
2017-03-21,5569.83,5580.62,5556.55
2017-03-17,5577.91,5578.81,5560.43
2017-03-16,5563.37,5570.29,5552.23
2017-03-15,5554.63,5568.05,5548.79
2017-03-14,5575.31,5576.44,5561.71
2017-03-13,5563.1,5578.53,5555.56
2017-03-10,5569.61,5585.26,5561.99
2017-03-09,5578.48,5600.92,5576.65
2017-03-08,5585.01,5593.01,5571.34
2017-03-07,5575.42,5589.72,5569.75
2017-03-06,5580.79,5616.41,5577.91
2017-03-03,5591.28,5607.97,5585.12
2017-03-02,5590.14,5615.99,5580.73
2017-03-01,5613.28,5626.74,5591.45
2017-02-28,5606.98,5606.98,5563.2
2017-02-27,5562.13,5562.22,5519.88
2017-02-24,5519.51,5529.0,5509.12
2017-02-23,5512.65,5521.6,5504.07
2017-02-22,5496.22,5497.0,5481.19
2017-02-21,5476.13,5480.9,5461.94
2017-02-20,5471.54,5473.18,5445.99
2017-02-17,5454.48,5466.65,5438.59
2017-02-16,5461.32,5487.69,5458.3
2017-02-15,5484.91,5508.33,5480.45
2017-02-14,5502.85,5532.03,5501.87
2017-02-13,5526.82,5537.47,5515.1
2017-02-10,5526.78,5529.87,5509.46
2017-02-09,5511.05,5525.99,5508.69
2017-02-08,5515.85,5517.95,5494.21
2017-02-07,5507.65,5521.35,5496.17
2017-02-06,5509.83,5521.56,5496.68
2017-02-03,5500.77,5504.05,5485.68
2017-02-02,5491.08,5502.77,5470.64
2017-02-01,5487.46,5515.71,5472.94
2017-01-31,5492.92,5535.22,5479.24
2017-01-30,5529.6,5538.95,5500.27
2017-01-27,5540.37,5554.24,5514.31
2017-01-26,5548.44,5578.04,5538.77
2017-01-25,5576.94,5605.92,5560.29
2017-01-24,5591.26,5598.37,5572.88
2017-01-23,5588.64,5597.22,5566.52
2017-01-20,5573.49,5574.43,5549.32
2017-01-19,5555.5,5572.75,5538.93
2017-01-18,5575.12,5587.33,5559.37
2017-01-17,5579.81,5579.85,5549.11
2017-01-16,5568.68,5568.95,5529.7
2017-01-13,5546.38,5546.38,5526.36
2017-01-12,5540.01,5542.58,5518.77
2017-01-11,5557.06,5572.45,5537.27
2017-01-10,5583.58,5583.86,5548.76
2017-01-09,5557.34,5572.86,5549.72
2017-01-06,5546.64,5550.78,5529.78
2017-01-05,5533.04,5533.11,5508.71
2017-01-04,5529.91,5531.35,5491.2
2017-01-03,5514.36,5514.36,5469.2
2017-01-02,5495.99,5520.27,5476.08
2016-12-30,5488.77,5492.95,5463.05
2016-12-29,5467.14,5467.4,5441.64
2016-12-28,5456.2,5457.42,5436.83
2016-12-27,5447.14,5448.73,5432.83
2016-12-26,5443.9,5455.3,5437.42
2016-12-23,5448.67,5452.08,5440.07
2016-12-22,5450.01,5450.42,5414.78
2016-12-21,5424.7,5432.79,5409.94
2016-12-20,5424.11,5427.65,5410.71
2016-12-19,5420.34,5436.36,5415.57
2016-12-16,5432.21,5446.91,5432.21
2016-12-15,5432.1,5458.89,5426.78
2016-12-14,5457.91,5464.4,5447.27
2016-12-13,5465.69,5467.42,5445.86
2016-12-09,5461.83,5466.71,5454.78
2016-12-08,5467.06,5474.58,5442.68
2016-12-07,5475.45,5494.26,5469.29
2016-12-06,5490.39,5499.85,5478.57
2016-12-05,5492.88,5514.2,5488.96
2016-12-02,5510.67,5526.75,5500.01
2016-12-01,5518.26,5522.24,5503.79
2016-11-30,5521.14,5537.48,5513.28
2016-11-29,5524.83,5533.58,5513.99
2016-11-28,5526.18,5537.88,5515.22
2016-11-25,5523.21,5526.9,5511.88
2016-11-24,5515.11,5521.29,5509.72
2016-11-23,5517.06,5533.22,5516.59
2016-11-22,5541.24,5557.02,5531.28
2016-11-21,5556.43,5561.2,5536.84
2016-11-18,5544.64,5561.6,5539.84
2016-11-17,5558.43,5568.08,5553.08
2016-11-16,5564.55,5572.42,5555.5
2016-11-15,5563.47,5569.18,5546.8
2016-11-14,5539.07,5539.49,5503.06
2016-11-11,5510.41,5521.25,5494.94
2016-11-10,5519.46,5520.9,5495.99
2016-11-09,5518.93,5536.8,5503.94
2016-11-08,5541.73,5542.58,5528.7
2016-11-07,5536.53,5536.53,5501.21
2016-11-04,5509.19,5535.09,5504.98
2016-11-03,5529.6,5535.61,5511.01
2016-11-02,5521.75,5522.15,5493.66
2016-11-01,5499.25,5499.37,5486.57
2016-10-31,5489.47,5500.54,5468.74
2016-10-28,5479.3,5489.03,5469.12
2016-10-27,5477.67,5482.77,5472.29
2016-10-26,5472.89,5473.06,5454.65
2016-10-25,5467.16,5475.33,5445.15
2016-10-24,5450.7,5453.93,5428.19
2016-10-21,5428.19,5449.22,5416.93
2016-10-20,5416.29,5438.12,5409.91
2016-10-19,5429.15,5431.85,5415.45
2016-10-18,5419.9,5435.54,5409.9
2016-10-17,5415.7,5427.84,5404.68
2016-10-14,5420.43,5437.91,5400.0
2016-10-13,5409.21,5422.45,5403.61
2016-10-12,5419.0,5419.0,5395.87
2016-10-11,5392.55,5422.66,5386.39
2016-10-10,5422.16,5424.47,5399.32
2016-10-07,5395.31,5421.26,5391.1
2016-10-06,5397.8,5412.81,5369.57
2016-10-05,5387.09,5387.09,5360.56
2016-10-04,5360.09,5363.38,5340.0
2016-09-30,5341.56,5369.39,5330.83
2016-09-29,5332.11,5353.99,5318.21
2016-09-28,5339.68,5386.8,5339.68
2016-09-27,5382.65,5396.66,5382.65
2016-09-26,5396.34,5402.6,5385.5
2016-09-23,5396.03,5398.45,5371.16
2016-09-22,5388.8,5391.38,5376.4
2016-09-21,5388.8,5402.37,5382.36
2016-09-20,5402.04,5426.75,5395.86
2016-09-19,5423.78,5436.3,5413.37
2016-09-16,5427.71,5429.38,5409.49
2016-09-15,5421.47,5444.54,5419.93
2016-09-14,5433.89,5441.64,5425.29
2016-09-09,5425.33,5432.28,5419.03
2016-09-08,5426.25,5453.12,5425.27
2016-09-07,5435.71,5446.41,5425.31
2016-09-06,5443.91,5449.05,5436.46
2016-09-05,5443.57,5454.15,5432.46
2016-09-02,5434.94,5439.92,5421.27
2016-09-01,5433.95,5434.52,5416.41
2016-08-31,5425.39,5439.29,5418.87
2016-08-30,5436.18,5442.33,5415.85
2016-08-29,5442.74,5446.54,5434.0
2016-08-26,5435.95,5435.95,5408.45
2016-08-25,5420.43,5420.43,5402.28
2016-08-24,5405.87,5405.87,5390.24
2016-08-23,5400.4,5413.33,5396.39
2016-08-22,5406.97,5415.34,5392.42
2016-08-19,5386.3,5386.3,5360.78
2016-08-18,5372.91,5379.55,5363.82
2016-08-17,5381.77,5388.63,5358.92
2016-08-16,5360.18,5376.49,5348.58
2016-08-15,5372.41,5392.22,5363.57
2016-08-12,5382.65,5391.02,5375.44
2016-08-11,5380.6,5385.34,5368.34
2016-08-10,5376.42,5392.34,5368.57
2016-08-09,5390.29,5393.89,5373.49
2016-08-08,5380.06,5380.06,5349.16
2016-08-05,5357.55,5368.64,5348.7
2016-08-04,5348.95,5352.52,5329.07
2016-08-03,5329.83,5339.04,5314.9
2016-08-02,5338.43,5352.7,5326.94
2016-08-01,5342.74,5363.51,5327.79
2016-07-29,5357.35,5359.04,5343.53
2016-07-28,5349.97,5349.97,5331.8
2016-07-27,5343.74,5371.87,5334.6
2016-07-26,5346.44,5355.56,5333.55
2016-07-22,5352.84,5364.95,5325.39
2016-07-21,5358.04,5364.17,5327.3
2016-07-20,5340.2,5394.82,5340.2
2016-07-19,5374.46,5393.16,5356.44
2016-07-18,5379.65,5398.32,5370.44
2016-07-15,5383.81,5412.37,5378.54
2016-07-14,5385.98,5406.19,5381.29
2016-07-13,5397.18,5404.79,5390.78
2016-07-12,5398.88,5426.63,5398.57
2016-07-11,5390.34,5409.75,5351.4
2016-07-08,5347.13,5347.38,5313.18
2016-07-04,5336.93,5348.47,5317.87
2016-07-01,5309.51,5336.63,5294.44
2016-06-30,5289.98,5298.8,5276.53
2016-06-29,5300.72,5327.98,5295.64
2016-06-28,5310.74,5343.43,5295.08
2016-06-27,5329.26,5332.62,5307.26
2016-06-24,5348.96,5391.91,5348.23
2016-06-23,5391.5,5416.22,5386.78
2016-06-22,5414.15,5427.41,5402.27
2016-06-21,5422.08,5426.8,5410.99
2016-06-20,5420.07,5434.69,5419.2
2016-06-17,5425.96,5428.97,5413.21
2016-06-16,5441.96,5466.44,5415.39
2016-06-15,5466.93,5502.91,5456.02
2016-06-14,5484.82,5497.41,5451.09
2016-06-13,5483.38,5494.82,5477.54
2016-06-10,5482.19,5486.55,5474.33
2016-06-09,5479.29,5481.98,5464.7
2016-06-08,5483.88,5530.09,5483.88
2016-06-07,5530.97,5552.85,5530.9
2016-06-06,5547.62,5552.48,5537.14
2016-06-03,5551.23,5563.2,5527.91
2016-06-02,5530.46,5542.0,5506.36
2016-06-01,5501.49,5525.13,5486.85
2016-05-31,5488.6,5520.47,5488.6
2016-05-30,5510.94,5536.4,5492.09
2016-05-27,5523.03,5542.86,5510.66
2016-05-26,5541.2,5558.96,5526.75
2016-05-25,5550.74,5551.28,5528.05
2016-05-24,5529.03,5535.31,5513.88
2016-05-23,5528.38,5535.7,5503.5
2016-05-20,5495.12,5511.19,5478.5
2016-05-19,5472.65,5508.1,5470.77
2016-05-18,5500.94,5511.69,5489.96
2016-05-17,5507.56,5514.75,5489.17
2016-05-16,5503.1,5523.64,5481.15
2016-05-13,5501.56,5506.9,5488.1
2016-05-12,5491.86,5499.2,5460.87
2016-05-11,5495.94,5505.05,5468.47
2016-05-10,5475.38,5487.45,5442.62
2016-05-09,5470.28,5489.4,5440.14
2016-05-06,5436.03,5458.73,5424.39
2016-05-05,5441.38,5486.22,5434.05
2016-05-04,5458.85,5458.85,5385.07
2016-05-03,5390.85,5416.37,5387.52
2016-05-02,5404.85,5411.48,5379.16
2016-04-29,5356.58,5361.08,5332.1
2016-04-28,5332.06,5362.46,5326.23
2016-04-27,5334.07,5340.13,5320.44
2016-04-26,5331.52,5363.78,5316.18
2016-04-25,5335.45,5392.68,5331.39
2016-04-22,5347.33,5379.15,5335.05
2016-04-21,5342.58,5342.58,5280.4
2016-04-20,5273.09,5323.43,5273.09
2016-04-19,5316.39,5334.52,5305.99
2016-04-18,5308.85,5347.85,5298.11
2016-04-15,5348.1,5375.79,5334.38
2016-04-14,5372.85,5402.01,5365.09
2016-04-13,5396.3,5415.8,5380.09
2016-04-12,5386.58,5407.83,5376.43
2016-04-11,5407.74,5420.23,5397.46
2016-04-08,5403.8,5421.27,5399.28
2016-04-07,5413.89,5416.11,5384.22
2016-04-06,5412.16,5458.06,5410.83
2016-04-05,5435.18,5465.83,5423.83
2016-04-04,5460.56,5460.56,5434.77
2016-04-01,5439.16,5447.4,5413.25
2016-03-31,5421.0,5429.02,5404.07
2016-03-30,5428.51,5462.4,5425.09
2016-03-29,5450.16,5483.41,5440.59
2016-03-28,5474.52,5494.87,5471.89
2016-03-25,5496.57,5496.77,5469.08
2016-03-24,5490.74,5490.74,5468.47
2016-03-23,5487.73,5506.28,5483.86
2016-03-22,5505.88,5513.98,5478.67
2016-03-21,5502.49,5506.66,5478.49
2016-03-18,5485.17,5485.21,5466.16
2016-03-17,5482.4,5485.84,5463.52
2016-03-16,5469.13,5477.8,5460.2
2016-03-15,5469.57,5484.08,5464.73
2016-03-14,5474.48,5484.49,5454.37
2016-03-11,5457.71,5457.71,5421.68
2016-03-10,5424.19,5441.91,5407.51
2016-03-09,5441.49,5444.83,5398.65
2016-03-08,5397.86,5428.86,5387.55
2016-03-07,5403.77,5432.49,5379.56
2016-03-04,5426.54,5448.95,5416.31
2016-03-03,5437.74,5453.46,5425.5
2016-03-02,5430.13,5430.29,5332.99
2016-03-01,5316.47,5317.16,5283.48
2016-02-29,5288.13,5291.33,5248.44
2016-02-26,5270.93,5293.28,5253.52
2016-02-25,5251.92,5255.71,5232.85
2016-02-24,5260.63,5296.91,5250.76
2016-02-23,5294.91,5315.93,5290.07
2016-02-22,5308.12,5338.88,5294.53
2016-02-19,5336.55,5365.26,5331.34
2016-02-18,5365.29,5365.29,5331.28
